locality_id,suburb_name,locality_class,state,lat,lon
locb0dcb52a6b55,Abbeyard,Gazetted Locality,VIC,-37.024958,146.793662
locb9872f35df41,Abbotsford,Gazetted Locality,VIC,-37.803638,145.000039
loc8123ed12ea8d,Aberfeldie,Gazetted Locality,VIC,-37.759842,144.896948
loc1eb4a229104a,Aberfeldy,Gazetted Locality,VIC,-37.702165,146.379031
locb17be87767e1,Acheron,Gazetted Locality,VIC,-37.270457,145.708368
loc780cc0a1e133,Ada,Gazetted Locality,VIC,-37.84071,145.855289
loc43a16ea286e8,Adams Estate,Gazetted Locality,VIC,-38.424761,145.531464
loc25d754a8eb45,Addington,Gazetted Locality,VIC,-37.393119,143.668571
locb8c6086e7a55,Adelaide Lead,Gazetted Locality,VIC,-37.085538,143.669329
locc80658cf7fb4,Agnes,Gazetted Locality,VIC,-38.684697,146.396234
loc0be4112ae167,Aintree,Gazetted Locality,VIC,-37.71899,144.668422
loc496d70f9c930,Aire Valley,Gazetted Locality,VIC,-38.692913,143.562705
loc36f348555784,Aireys Inlet,Gazetted Locality,VIC,-38.437968,144.09766
locedf39decfb79,Airly,Gazetted Locality,VIC,-38.028437,147.10002
locdeefa3afa7c5,Airport West,Gazetted Locality,VIC,-37.722848,144.880426
loc0a5e71d90f74,Albacutya,Gazetted Locality,VIC,-35.738345,141.968211
locff0c231b0f12,Albanvale,Gazetted Locality,VIC,-37.7459,144.769106
loce7252de87492,Albert Park,Gazetted Locality,VIC,-37.845361,144.951604
loc6e1cfef44ce9,Alberton,Gazetted Locality,VIC,-38.615952,146.662914
loc44145b6072a8,Alberton West,Gazetted Locality,VIC,-38.600792,146.575608
loc631dce7fd76a,Albion,Gazetted Locality,VIC,-37.775736,144.815508
locfa471b99ea58,Alexandra,Gazetted Locality,VIC,-37.196602,145.736062
loc82f5b45a790d,Alfredton,Gazetted Locality,VIC,-37.554286,143.800346
loc275f6ce31843,Allambee,Gazetted Locality,VIC,-38.297813,146.017898
loc2a4f82974197,Allambee Reserve,Gazetted Locality,VIC,-38.304502,146.052064
locde07810d8948,Allambee South,Gazetted Locality,VIC,-38.353631,146.101731
loc69321423c8f1,Allans Flat,Gazetted Locality,VIC,-36.295648,146.943489
loc60566a23e081,Allansford,Gazetted Locality,VIC,-38.403984,142.596333
loc88c9e1570f0b,Allendale,Gazetted Locality,VIC,-37.364063,143.912287
locde6b7d0d529c,Allestree,Gazetted Locality,VIC,-38.273778,141.648666
loc392ad735d93a,Alma,Gazetted Locality,VIC,-37.022806,143.676144
loc5839ad1e33e1,Almonds,Gazetted Locality,VIC,-36.234102,146.056036
locf0cfcff51df9,Almurta,Gazetted Locality,VIC,-38.455196,145.580309
loc61df9930af3b,Alphington,Gazetted Locality,VIC,-37.778102,145.030103
loc65a4fa5b2f2a,Altona,Gazetted Locality,VIC,-37.863243,144.815323
locec99dd6d0979,Altona Meadows,Gazetted Locality,VIC,-37.879529,144.78203
loc08caad3924ee,Altona North,Gazetted Locality,VIC,-37.838329,144.831809
loc50cd9c457bec,Alvie,Gazetted Locality,VIC,-38.236612,143.494361
locbd0f469cb6c7,Amherst,Gazetted Locality,VIC,-37.139833,143.656545
loc33251c36645a,Amor,Gazetted Locality,VIC,-37.939783,146.404639
loc8eb258f7fd5e,Amphitheatre,Gazetted Locality,VIC,-37.200489,143.405568
loc697cc69c0201,Anakie,Gazetted Locality,VIC,-37.941322,144.29193
loc181fd431f029,Ancona,Gazetted Locality,VIC,-36.966854,145.813795
loc891bbdc703a3,Anderson,Gazetted Locality,VIC,-38.52319,145.448363
loc620e3bac5f96,Anglers Rest,Gazetted Locality,VIC,-37.018814,147.472209
loc05cb82a7bc89,Anglesea,Gazetted Locality,VIC,-38.37847,144.153663
loc280972be8416,Annuello,Gazetted Locality,VIC,-34.855276,142.800879
loc08486d57b7ce,Antwerp,Gazetted Locality,VIC,-36.269491,141.975447
loc48b6090e855b,Apollo Bay,Gazetted Locality,VIC,-38.736125,143.640526
loceb4612bb2400,Appin,Gazetted Locality,VIC,-35.875059,143.873916
locb9432ce09125,Appin South,Gazetted Locality,VIC,-35.926624,143.8649
loca8b7e4ac1df1,Apsley,Gazetted Locality,VIC,-36.981527,141.087987
loc2c7c03a351ea,Arapiles,Gazetted Locality,VIC,-36.741192,141.849287
locefdacd147f2f,Ararat,Gazetted Locality,VIC,-37.266069,142.983321
loc2833f5edae08,Arawata,Gazetted Locality,VIC,-38.39537,145.882409
loc132c8f9810de,Arbuckle,Gazetted Locality,VIC,-37.369513,146.819243
loc39fa11f54927,Arcadia,Gazetted Locality,VIC,-36.555542,145.385575
loc50e8faa94787,Arcadia South,Gazetted Locality,VIC,-36.595523,145.380527
locb40632e35a66,Archdale,Gazetted Locality,VIC,-36.834928,143.511691
locb7701b83154b,Archdale Junction,Gazetted Locality,VIC,-36.887429,143.52381
loc6aafafa137a8,Archerton,Gazetted Locality,VIC,-36.869872,146.194005
loc35ec4003079f,Archies Creek,Gazetted Locality,VIC,-38.548851,145.564978
locc7baa224b862,Ardeer,Gazetted Locality,VIC,-37.775671,144.800936
loc0f4e621d57eb,Ardmona,Gazetted Locality,VIC,-36.3824,145.295409
loc9fa52a4f97e1,Areegra,Gazetted Locality,VIC,-36.235716,142.679919
loc615a8cfd40bb,Argyle,Gazetted Locality,VIC,-36.967014,144.715041
loc517fb29cebaa,Armadale,Gazetted Locality,VIC,-37.857712,145.019491
locc8cf2a27e6e0,Armstrong,Gazetted Locality,VIC,-37.214048,142.882229
loc96655641e3a2,Armstrong Creek,Gazetted Locality,VIC,-38.235815,144.363022
loc1ec0d6b096ae,Arnold,Gazetted Locality,VIC,-36.672146,143.858318
locad1ecf5f92a5,Arnold West,Gazetted Locality,VIC,-36.66924,143.777124
loc8c127a27890f,Arthurs Creek,Gazetted Locality,VIC,-37.567846,145.204857
