suburb_name,state,lat,lon,postcode
ABBEYARD,VIC,-37.024958,146.793662,3737.0
ABBEYARD,VIC,-37.024958,146.793662,3737.0
ABBOTSFORD,VIC,-37.803638,145.000039,3067.0
ABERFELDIE,VIC,-37.759842,144.896948,3040.0
ABERFELDY,VIC,-37.702165,146.379031,3825.0
ACHERON,VIC,-37.270457,145.708368,3714.0
ADA,VIC,-37.84071,145.855289,3833.0
ADAMS ESTATE,VIC,-38.424761,145.531464,3984.0
ADAMS ESTATE,VIC,-38.424761,145.531464,3984.0
ADDINGTON,VIC,-37.393119,143.668571,3352.0
ADELAIDE LEAD,VIC,-37.085538,143.669329,3465.0
ADELAIDE LEAD,VIC,-37.085538,143.669329,3465.0
AGNES,VIC,-38.684697,146.396234,3962.0
AINTREE,VIC,-37.71899,144.668422,3336.0
AIRE VALLEY,VIC,-38.692913,143.562705,3237.0
AIREYS INLET,VIC,-38.437968,144.09766,3231.0
AIRLY,VIC,-38.028437,147.10002,3851.0
AIRPORT WEST,VIC,-37.722848,144.880426,3042.0
ALBACUTYA,VIC,-35.738345,141.968211,3424.0
ALBANVALE,VIC,-37.7459,144.769106,3021.0
ALBERT PARK,VIC,-37.845361,144.951604,3206.0
ALBERT PARK,VIC,-37.845361,144.951604,3206.0
ALBERTON,VIC,-38.615952,146.662914,3971.0
ALBERTON,VIC,-38.615952,146.662914,3971.0
ALBERTON WEST,VIC,-38.600792,146.575608,3971.0
ALBERTON WEST,VIC,-38.600792,146.575608,3971.0
ALBERTON WEST,VIC,-38.600792,146.575608,3971.0
ALBION,VIC,-37.775736,144.815508,3020.0
ALEXANDRA,VIC,-37.196602,145.736062,3714.0
ALFREDTON,VIC,-37.554286,143.800346,3350.0
ALLAMBEE,VIC,-38.297813,146.017898,3823.0
ALLAMBEE RESERVE,VIC,-38.304502,146.052064,3871.0
ALLAMBEE RESERVE,VIC,-38.304502,146.052064,3871.0
ALLAMBEE SOUTH,VIC,-38.353631,146.101731,3871.0
ALLAMBEE SOUTH,VIC,-38.353631,146.101731,3871.0
ALLANS FLAT,VIC,-36.295648,146.943489,3691.0
ALLANS FLAT,VIC,-36.295648,146.943489,3691.0
ALLANSFORD,VIC,-38.403984,142.596333,3277.0
ALLANSFORD,VIC,-38.403984,142.596333,3277.0
ALLENDALE,VIC,-37.364063,143.912287,3364.0
ALLESTREE,VIC,-38.273778,141.648666,3305.0
ALMA,VIC,-37.022806,143.676144,3465.0
ALMONDS,VIC,-36.234102,146.056036,3727.0
ALMURTA,VIC,-38.455196,145.580309,3979.0
ALPHINGTON,VIC,-37.778102,145.030103,3078.0
ALTONA,VIC,-37.863243,144.815323,3018.0
ALTONA MEADOWS,VIC,-37.879529,144.78203,3028.0
ALTONA MEADOWS,VIC,-37.879529,144.78203,3028.0
ALTONA MEADOWS,VIC,-37.879529,144.78203,3028.0
ALTONA MEADOWS,VIC,-37.879529,144.78203,3028.0
ALTONA MEADOWS,VIC,-37.879529,144.78203,3028.0
ALTONA NORTH,VIC,-37.838329,144.831809,3025.0
ALTONA NORTH,VIC,-37.838329,144.831809,3025.0
ALVIE,VIC,-38.236612,143.494361,3249.0
AMHERST,VIC,-37.139833,143.656545,3371.0
AMOR,VIC,-37.939783,146.404639,3825.0
AMPHITHEATRE,VIC,-37.200489,143.405568,3468.0
ANAKIE,VIC,-37.941322,144.29193,3213.0
ANCONA,VIC,-36.966854,145.813795,3715.0
ANDERSON,VIC,-38.52319,145.448363,3995.0
ANGLERS REST,VIC,-37.018814,147.472209,3898.0
ANGLESEA,VIC,-38.37847,144.153663,3230.0
ANNUELLO,VIC,-34.855276,142.800879,3549.0
ANTWERP,VIC,-36.269491,141.975447,3414.0
APOLLO BAY,VIC,-38.736125,143.640526,3233.0
APPIN,VIC,-35.875059,143.873916,3579.0
APPIN SOUTH,VIC,-35.926624,143.8649,3579.0
APPIN SOUTH,VIC,-35.926624,143.8649,3579.0
APSLEY,VIC,-36.981527,141.087987,3319.0
ARAPILES,VIC,-36.741192,141.849287,3409.0
ARARAT,VIC,-37.266069,142.983321,3377.0
ARAWATA,VIC,-38.39537,145.882409,3951.0
ARBUCKLE,VIC,-37.369513,146.819243,3858.0
ARCADIA,VIC,-36.555542,145.385575,3631.0
ARCADIA SOUTH,VIC,-36.595523,145.380527,3631.0
ARCADIA SOUTH,VIC,-36.595523,145.380527,3631.0
ARCHDALE,VIC,-36.834928,143.511691,3475.0
ARCHDALE JUNCTION,VIC,-36.887429,143.52381,3475.0
ARCHDALE JUNCTION,VIC,-36.887429,143.52381,3475.0
ARCHERTON,VIC,-36.869872,146.194005,3723.0
ARCHERTON,VIC,-36.869872,146.194005,3723.0
ARCHIES CREEK,VIC,-38.548851,145.564978,3995.0
ARDEER,VIC,-37.775671,144.800936,3022.0
ARDMONA,VIC,-36.3824,145.295409,3629.0
AREEGRA,VIC,-36.235716,142.679919,3480.0
ARGYLE,VIC,-36.967014,144.715041,3523.0
ARMADALE,VIC,-37.857712,145.019491,3143.0
ARMSTRONG,VIC,-37.214048,142.882229,3377.0
ARMSTRONG CREEK,VIC,-38.235815,144.363022,3217.0
ARMSTRONG CREEK,VIC,-38.235815,144.363022,3217.0
ARNOLD,VIC,-36.672146,143.858318,3551.0
ARNOLD WEST,VIC,-36.66924,143.777124,3551.0
ARNOLD WEST,VIC,-36.66924,143.777124,3551.0
ARTHURS CREEK,VIC,-37.567846,145.204857,3099.0
ARTHURS SEAT,VIC,-38.360618,144.959731,3936.0
ASCOT,VIC,-36.707041,144.336459,3364.0
ASCOT,VIC,-36.707041,144.336459,3551.0
ASCOT,VIC,-37.397226,143.81161,3364.0
ASCOT,VIC,-37.397226,143.81161,3551.0
ASCOT VALE,VIC,-37.779811,144.922715,3032.0
ASCOT VALE,VIC,-37.779811,144.922715,3032.0
ASHBOURNE,VIC,-37.411634,144.460362,3442.0
ASHBURTON,VIC,-37.867026,145.078151,3147.0
ASHWOOD,VIC,-37.865485,145.102546,3147.0
ASPENDALE,VIC,-38.022411,145.103601,3195.0
ASPENDALE GARDENS,VIC,-38.023463,145.123486,3195.0
ASPENDALE GARDENS,VIC,-38.023463,145.123486,3195.0
ATHLONE,VIC,-38.24341,145.78687,3818.0
ATTWOOD,VIC,-37.667178,144.88252,3049.0
AUBREY,VIC,-36.230445,142.21919,3393.0
AUCHMORE,VIC,-36.476914,144.092191,3570.0
AVALON,VIC,-38.048859,144.447075,3212.0
AVENEL,VIC,-36.93217,145.312966,3664.0
AVOCA,VIC,-37.069055,143.479821,3467.0
AVON PLAINS,VIC,-36.535918,142.940547,3477.0
AVON PLAINS,VIC,-36.535918,142.940547,3477.0
AVONDALE HEIGHTS,VIC,-37.762861,144.863025,3034.0
AVONDALE HEIGHTS,VIC,-37.762861,144.863025,3034.0
AVONDALE HEIGHTS,VIC,-37.762861,144.863025,3034.0
AVONMORE,VIC,-36.534845,144.541474,3559.0
AVONMORE,VIC,-36.534845,144.541474,3559.0
AVONSLEIGH,VIC,-37.913736,145.482198,3782.0
AVONSLEIGH,VIC,-37.913736,145.482198,3782.0
AXE CREEK,VIC,-36.861464,144.385119,3551.0
AXEDALE,VIC,-36.772841,144.531174,3551.0
AYRFORD,VIC,-38.435725,142.853491,3268.0
AYRFORD,VIC,-38.435725,142.853491,3268.0
BACCHUS MARSH,VIC,-37.678364,144.441015,3340.0
BADDAGINNIE,VIC,-36.602444,145.859811,3670.0
BADGER CREEK,VIC,-37.688289,145.543365,3777.0
BAEL BAEL,VIC,-35.684358,143.737059,3579.0
BAGSHOT,VIC,-36.654324,144.402907,3551.0
BAGSHOT NORTH,VIC,-36.588636,144.410851,3551.0
BAGSHOT NORTH,VIC,-36.588636,144.410851,3551.0
BAHGALLAH,VIC,-37.702661,141.28301,3312.0
BAILIESTON,VIC,-36.753346,145.084332,3608.0
BAIRNSDALE,VIC,-37.853256,147.603903,3875.0
BAKERY HILL,VIC,-37.563106,143.865998,3350.0
BAKERY HILL,VIC,-37.563106,143.865998,3354.0
BALACLAVA,VIC,-37.870524,144.994834,3183.0
BALD HILLS,VIC,-37.446347,143.838309,3364.0
BALINTORE,VIC,-38.281937,143.569738,3249.0
