LOC_PID,LOC_NAME,LOC_CLASS,STATE,lat,lon
locb0dcb52a6b55,Abbeyard,Gazetted Locality,VIC,-37.02495775356094,146.79366198351764
locb9872f35df41,Abbotsford,Gazetted Locality,VIC,-37.803638083401445,145.00003904629162
loc8123ed12ea8d,Aberfeldie,Gazetted Locality,VIC,-37.759841879085414,144.8969478925236
loc1eb4a229104a,Aberfeldy,Gazetted Locality,VIC,-37.70216458751695,146.37903101313736
locb17be87767e1,Acheron,Gazetted Locality,VIC,-37.27045707417102,145.70836810220874
loc780cc0a1e133,Ada,Gazetted Locality,VIC,-37.84071021693326,145.85528938650899
loc43a16ea286e8,Adams Estate,Gazetted Locality,VIC,-38.42476138339643,145.53146423032052
loc25d754a8eb45,Addington,Gazetted Locality,VIC,-37.39311903012681,143.66857125620098
locb8c6086e7a55,Adelaide Lead,Gazetted Locality,VIC,-37.08553799056118,143.66932895495188
locc80658cf7fb4,Agnes,Gazetted Locality,VIC,-38.68469682577745,146.3962341924115
loc0be4112ae167,Aintree,Gazetted Locality,VIC,-37.71898988777856,144.668422353938
loc496d70f9c930,Aire Valley,Gazetted Locality,VIC,-38.69291282745452,143.56270483477522
loc36f348555784,Aireys Inlet,Gazetted Locality,VIC,-38.4379678282479,144.09765976555803
locedf39decfb79,Airly,Gazetted Locality,VIC,-38.02843702592712,147.10002046716195
locdeefa3afa7c5,Airport West,Gazetted Locality,VIC,-37.72284759223115,144.8804261980178
loc0a5e71d90f74,Albacutya,Gazetted Locality,VIC,-35.73834530057435,141.96821080012435
locff0c231b0f12,Albanvale,Gazetted Locality,VIC,-37.74589978514908,144.76910557539748
loce7252de87492,Albert Park,Gazetted Locality,VIC,-37.84536065600749,144.95160382053615
loc6e1cfef44ce9,Alberton,Gazetted Locality,VIC,-38.615952226127476,146.66291377489554
loc44145b6072a8,Alberton West,Gazetted Locality,VIC,-38.60079207084547,146.5756083496644
loc631dce7fd76a,Albion,Gazetted Locality,VIC,-37.77573647209909,144.8155082359737
locfa471b99ea58,Alexandra,Gazetted Locality,VIC,-37.19660176422276,145.73606162626606
loc82f5b45a790d,Alfredton,Gazetted Locality,VIC,-37.55428551608128,143.80034604439413
loc275f6ce31843,Allambee,Gazetted Locality,VIC,-38.29781265270071,146.01789786026114
loc2a4f82974197,Allambee Reserve,Gazetted Locality,VIC,-38.304501581464976,146.05206433428998
locde07810d8948,Allambee South,Gazetted Locality,VIC,-38.35363111205375,146.10173108258863
loc69321423c8f1,Allans Flat,Gazetted Locality,VIC,-36.2956477307004,146.94348875917188
loc60566a23e081,Allansford,Gazetted Locality,VIC,-38.40398412882493,142.5963326152402
loc88c9e1570f0b,Allendale,Gazetted Locality,VIC,-37.36406288985333,143.9122865372605
locde6b7d0d529c,Allestree,Gazetted Locality,VIC,-38.27377844926124,141.64866576401948
loc392ad735d93a,Alma,Gazetted Locality,VIC,-37.02280621810509,143.67614352138168
loc5839ad1e33e1,Almonds,Gazetted Locality,VIC,-36.234102404498856,146.05603646592607
locf0cfcff51df9,Almurta,Gazetted Locality,VIC,-38.45519551316751,145.58030874512144
loc61df9930af3b,Alphington,Gazetted Locality,VIC,-37.77810231460899,145.03010280479378
loc65a4fa5b2f2a,Altona,Gazetted Locality,VIC,-37.86324348880833,144.81532328533427
locec99dd6d0979,Altona Meadows,Gazetted Locality,VIC,-37.87952850116528,144.782029971117
loc08caad3924ee,Altona North,Gazetted Locality,VIC,-37.83832926689557,144.83180878273544
loc50cd9c457bec,Alvie,Gazetted Locality,VIC,-38.23661170330858,143.49436115685955
locbd0f469cb6c7,Amherst,Gazetted Locality,VIC,-37.13983307250844,143.65654507095556
loc33251c36645a,Amor,Gazetted Locality,VIC,-37.93978344210211,146.40463920508176
loc8eb258f7fd5e,Amphitheatre,Gazetted Locality,VIC,-37.200488657151396,143.40556793041003
loc697cc69c0201,Anakie,Gazetted Locality,VIC,-37.941321753966825,144.29192955682612
loc181fd431f029,Ancona,Gazetted Locality,VIC,-36.9668543917208,145.81379453773584
loc891bbdc703a3,Anderson,Gazetted Locality,VIC,-38.52319020165841,145.44836278977618
loc620e3bac5f96,Anglers Rest,Gazetted Locality,VIC,-37.01881352272681,147.47220873525168
loc05cb82a7bc89,Anglesea,Gazetted Locality,VIC,-38.37846977116116,144.1536626708284
loc280972be8416,Annuello,Gazetted Locality,VIC,-34.855275811704786,142.8008793359112
loc08486d57b7ce,Antwerp,Gazetted Locality,VIC,-36.26949085267509,141.97544673998834
loc48b6090e855b,Apollo Bay,Gazetted Locality,VIC,-38.73612453866562,143.6405263694581
loceb4612bb2400,Appin,Gazetted Locality,VIC,-35.87505877786678,143.87391579959132
locb9432ce09125,Appin South,Gazetted Locality,VIC,-35.92662419070646,143.86490025571715
loca8b7e4ac1df1,Apsley,Gazetted Locality,VIC,-36.98152706457151,141.0879869012755
loc2c7c03a351ea,Arapiles,Gazetted Locality,VIC,-36.74119154795535,141.84928735129222
locefdacd147f2f,Ararat,Gazetted Locality,VIC,-37.26606906622168,142.98332142727196
loc2833f5edae08,Arawata,Gazetted Locality,VIC,-38.39536973656008,145.8824086476469
loc132c8f9810de,Arbuckle,Gazetted Locality,VIC,-37.369512702878,146.81924331350928
loc39fa11f54927,Arcadia,Gazetted Locality,VIC,-36.55554193020447,145.38557542398507
loc50e8faa94787,Arcadia South,Gazetted Locality,VIC,-36.59552320152716,145.38052673100378
locb40632e35a66,Archdale,Gazetted Locality,VIC,-36.834927716456065,143.51169119031493
locb7701b83154b,Archdale Junction,Gazetted Locality,VIC,-36.88742858614915,143.52381035243286
loc6aafafa137a8,Archerton,Gazetted Locality,VIC,-36.86987190041957,146.19400502670555
loc35ec4003079f,Archies Creek,Gazetted Locality,VIC,-38.54885128585102,145.56497792277563
locc7baa224b862,Ardeer,Gazetted Locality,VIC,-37.77567064210277,144.80093596104672
loc0f4e621d57eb,Ardmona,Gazetted Locality,VIC,-36.382400377565105,145.29540917552407
loc9fa52a4f97e1,Areegra,Gazetted Locality,VIC,-36.23571620510026,142.6799188398106
loc615a8cfd40bb,Argyle,Gazetted Locality,VIC,-36.967014084254785,144.7150409307577
loc517fb29cebaa,Armadale,Gazetted Locality,VIC,-37.857712414880936,145.01949052000094
locc8cf2a27e6e0,Armstrong,Gazetted Locality,VIC,-37.21404816328928,142.8822286361301
loc96655641e3a2,Armstrong Creek,Gazetted Locality,VIC,-38.23581460072609,144.36302190794814
loc1ec0d6b096ae,Arnold,Gazetted Locality,VIC,-36.672146240750834,143.8583181370979
locad1ecf5f92a5,Arnold West,Gazetted Locality,VIC,-36.66924021827606,143.77712423755176
loc8c127a27890f,Arthurs Creek,Gazetted Locality,VIC,-37.56784604663554,145.2048567027275
loc4cdd1af01845,Arthurs Seat,Gazetted Locality,VIC,-38.360617533156,144.9597309923206
loc7dfc13a0fbf3,Ascot,Gazetted Locality,VIC,-36.70704077846064,144.3364586591334
locd5ab416586a2,Ascot,Gazetted Locality,VIC,-37.3972256738905,143.81160959681569
locfdc6079b562f,Ascot Vale,Gazetted Locality,VIC,-37.779811205218756,144.92271531863406
loc45ea5b7f228b,Ashbourne,Gazetted Locality,VIC,-37.41163433303247,144.46036226303346
locff0c4d75067f,Ashburton,Gazetted Locality,VIC,-37.8670262716315,145.0781510091153
loc4ff8c926c940,Ashwood,Gazetted Locality,VIC,-37.86548523330191,145.10254555314384
loc588c867d4a80,Aspendale,Gazetted Locality,VIC,-38.02241134733934,145.10360100016786
loc62bb1a0efe24,Aspendale Gardens,Gazetted Locality,VIC,-38.0234630194076,145.12348577547667
loc6bd6bdb52299,Athlone,Gazetted Locality,VIC,-38.243409614237194,145.78686964571773
locabd4ee5e179a,Attwood,Gazetted Locality,VIC,-37.66717825548615,144.8825196990505
locc7c615646f18,Aubrey,Gazetted Locality,VIC,-36.23044515343595,142.21918996900996
locd1ca5d96e929,Auchmore,Gazetted Locality,VIC,-36.47691372666685,144.09219061681137
loc24a73b7c0f1f,Avalon,Gazetted Locality,VIC,-38.0488586156483,144.44707490158413
loc4125644a3e48,Avenel,Gazetted Locality,VIC,-36.932169522780356,145.31296592183952
loc7a389af5c5f0,Avoca,Gazetted Locality,VIC,-37.06905506381305,143.47982115198266
loc09d5b3d1a041,Avon Plains,Gazetted Locality,VIC,-36.53591770100975,142.94054717490638
loc151f19603153,Avondale Heights,Gazetted Locality,VIC,-37.76286130465411,144.86302510922727
loc17e7f65d9665,Avonmore,Gazetted Locality,VIC,-36.53484479578985,144.54147371302378
locc3526335f3d5,Avonsleigh,Gazetted Locality,VIC,-37.91373573506063,145.48219824617797
locaddb8f975411,Axe Creek,Gazetted Locality,VIC,-36.86146374185098,144.3851190417837
locb6d54ff2bcb7,Axedale,Gazetted Locality,VIC,-36.772841150089704,144.53117442305228
loc8f5284a27c70,Ayrford,Gazetted Locality,VIC,-38.43572510570682,142.85349105140466
locd777103bd088,Bacchus Marsh,Gazetted Locality,VIC,-37.678364237809255,144.44101528634877
locadd0c24c200e,Baddaginnie,Gazetted Locality,VIC,-36.6024443076805,145.85981143623366
loca6d8813738eb,Badger Creek,Gazetted Locality,VIC,-37.68828910923956,145.54336488498666
loc071b37be3d4d,Bael Bael,Gazetted Locality,VIC,-35.6843584602198,143.73705864090084
loc77b84027033d,Bagshot,Gazetted Locality,VIC,-36.65432353052874,144.40290698611318
loce42d1b5e2aab,Bagshot North,Gazetted Locality,VIC,-36.58863584500348,144.4108509387803
loc02143e7526bf,Bahgallah,Gazetted Locality,VIC,-37.70266111903092,141.28300993723616
loc5b05103f6f82,Bailieston,Gazetted Locality,VIC,-36.753345847657556,145.08433244137154
loc232da9d11723,Bairnsdale,Gazetted Locality,VIC,-37.85325632033286,147.6039026053464
loc2c1864e3cbb6,Bakery Hill,Gazetted Locality,VIC,-37.56310641434381,143.86599785314417
loc0e52a8070878,Balaclava,Gazetted Locality,VIC,-37.87052352113041,144.99483355806723
loc579a0e419572,Bald Hills,Gazetted Locality,VIC,-37.44634728980105,143.83830890339524
loc2dfdbcee246f,Balintore,Gazetted Locality,VIC,-38.28193663018004,143.5697379778012
loc9b1b54e515f7,Ballan,Gazetted Locality,VIC,-37.603859495147745,144.21449523938801
loc51c40eb71225,Ballangeich,Gazetted Locality,VIC,-38.186156187733516,142.6134404269203
locb3042bbbc56a,Ballapur,Gazetted Locality,VIC,-35.97518362010361,142.74788474650188
loc76166a14c514,Ballarat Central,Gazetted Locality,VIC,-37.55938151705904,143.8504810455281
loc0da1e4cdebda,Ballarat East,Gazetted Locality,VIC,-37.564329298503644,143.89703727992378
loc387ede10db16,Ballarat North,Gazetted Locality,VIC,-37.53739852362161,143.8648674321356
locbd7d7c19e839,Ballendella,Gazetted Locality,VIC,-36.293249270303065,144.6746411942397
locea13560b3b42,Balliang,Gazetted Locality,VIC,-37.82004168199036,144.3584424373616
locf2158407e353,Balliang East,Gazetted Locality,VIC,-37.81860001920432,144.4437404779789
locd7da627ee418,Ballyrogan,Gazetted Locality,VIC,-37.43156073078199,143.11459288011562
locb7a8a8d0ef4f,Balmattum,Gazetted Locality,VIC,-36.710904101192455,145.65620588719355
loccd9082fe4b16,Balmoral,Gazetted Locality,VIC,-37.216476244611115,141.8350000586628
loc0a04b7cc8b07,Balnarring,Gazetted Locality,VIC,-38.355467344261314,145.1270991089042
loc3f71543240dd,Balnarring Beach,Gazetted Locality,VIC,-38.3913434663823,145.12104697424556
loc16c75834002d,Balook,Gazetted Locality,VIC,-38.42508743361642,146.5513349031039
loc64cc79e3a232,Balwyn,Gazetted Locality,VIC,-37.8096805134641,145.08737227909643
loc0621c45c46f4,Balwyn North,Gazetted Locality,VIC,-37.79082248448967,145.08460121614218
loc9aa0e8c528a8,Bamawm,Gazetted Locality,VIC,-36.26378731532144,144.63531841037423
loc5bf3990f31ba,Bamawm Extension,Gazetted Locality,VIC,-36.17608878755048,144.6003324587354
loc31ff0e218c39,Bambra,Gazetted Locality,VIC,-38.36174556907525,143.94914286553842
loc5079fcd52a5f,Bamganie,Gazetted Locality,VIC,-37.9395861035788,144.0093632212293
loc398d22e7ad86,Bandiana,Gazetted Locality,VIC,-36.13108604641997,146.93721535207754
locbddfacc30b0a,Bangerang,Gazetted Locality,VIC,-36.19119119620984,142.581468785281
locf3fc3fca2acd,Bangholme,Gazetted Locality,VIC,-38.04663416719934,145.1758971663547
loc02d205ec3a0a,Banksia Peninsula,Gazetted Locality,VIC,-37.949777833150236,147.68158706908397
loc4fbbfa844d68,Bannerton,Gazetted Locality,VIC,-34.737629194616424,142.7985796426153
loce2c8ca5c6900,Bannockburn,Gazetted Locality,VIC,-38.04977914123165,144.15942555298926
loca88aa2abd113,Banyan,Gazetted Locality,VIC,-35.61425594470579,142.78828137072912
loc430fadd03c5d,Banyena,Gazetted Locality,VIC,-36.58853964256384,142.84231267035844
locba8f7a4a0c92,Baranduda,Gazetted Locality,VIC,-36.18471857614672,146.95099994785937
locb5dffcc94890,Barfold,Gazetted Locality,VIC,-37.10355015902843,144.50055253948574
loc12a521f64361,Baringhup,Gazetted Locality,VIC,-36.975840561630605,143.9686239650173
locd76b7ecdbb02,Baringhup West,Gazetted Locality,VIC,-36.957671528432726,143.90298396979145
loc1d612b58d12f,Barjarg,Gazetted Locality,VIC,-36.921182075440186,146.00745182955396
locd15f477b7685,Barkers Creek,Gazetted Locality,VIC,-37.02304282813786,144.224986105099
loc25449f1f934e,Barkly,Gazetted Locality,VIC,-36.94307825677509,143.21895394675306
locb5518e2def1e,Barkstead,Gazetted Locality,VIC,-37.477655589784526,144.09924246033296
loce8ad48650312,Barmah,Gazetted Locality,VIC,-35.950028185002836,144.98894210420517
loc480fd83ce7b6,Barnadown,Gazetted Locality,VIC,-36.650040151478976,144.52644002359614
loca33f0b478514,Barnawartha,Gazetted Locality,VIC,-36.0810055791833,146.68333777347942
loce16c47ba0da0,Barnawartha North,Gazetted Locality,VIC,-36.07685687781686,146.75093683441682
loc28f46ad1c65b,Baromi,Gazetted Locality,VIC,-38.40361544554532,146.17542218699532
loc2d72f4eafe40,Barongarook,Gazetted Locality,VIC,-38.43132017369828,143.6146167245759
